,variable,value,date,times
391,circumplex.arousal,-1.0,2014-04-24,09:00:00.000
392,circumplex.arousal,-1.0,2014-04-24,12:00:00.000
393,circumplex.arousal,-1.0,2014-04-24,15:00:00.000
394,circumplex.arousal,-2.0,2014-04-24,20:00:00.000
395,circumplex.arousal,-1.0,2014-04-24,21:00:00.000
396,circumplex.arousal,-1.0,2014-04-25,09:00:00.000
397,circumplex.arousal,-1.0,2014-04-25,12:00:00.000
398,circumplex.arousal,-1.0,2014-04-25,18:00:00.000
399,circumplex.arousal,-1.0,2014-04-25,21:00:00.000
400,circumplex.arousal,-2.0,2014-04-26,10:00:00.000
401,circumplex.arousal,-1.0,2014-04-26,12:00:00.000
402,circumplex.arousal,-1.0,2014-04-26,15:00:00.000
403,circumplex.arousal,-1.0,2014-04-26,18:00:00.000
404,circumplex.arousal,-1.0,2014-04-26,21:00:00.000
405,circumplex.arousal,-2.0,2014-04-27,09:00:00.000
406,circumplex.arousal,0.0,2014-04-27,13:00:00.000
407,circumplex.arousal,-1.0,2014-04-27,15:00:00.000
408,circumplex.arousal,-1.0,2014-04-27,18:00:00.000
409,circumplex.arousal,-1.0,2014-04-27,21:00:00.000
410,circumplex.arousal,-1.0,2014-04-28,10:00:00.000
411,circumplex.arousal,-1.0,2014-04-28,12:00:00.000
412,circumplex.arousal,-1.0,2014-04-28,15:00:00.000
413,circumplex.arousal,-1.0,2014-04-28,19:00:00.000
414,circumplex.arousal,-1.0,2014-04-28,21:00:00.000
415,circumplex.arousal,-1.0,2014-04-29,11:00:00.000
416,circumplex.arousal,-1.0,2014-04-29,12:00:00.000
417,circumplex.arousal,-1.0,2014-04-29,15:00:00.000
418,circumplex.arousal,-1.0,2014-04-29,19:00:00.000
419,circumplex.arousal,-1.0,2014-04-29,21:00:00.000
420,circumplex.arousal,-1.0,2014-04-30,09:00:00.000
421,circumplex.arousal,-1.0,2014-04-30,12:00:00.000
422,circumplex.arousal,-1.0,2014-04-30,15:00:00.000
423,circumplex.arousal,-1.0,2014-04-30,18:00:00.000
424,circumplex.arousal,-2.0,2014-04-30,21:00:00.000
425,circumplex.arousal,-1.0,2014-05-01,09:00:00.000
426,circumplex.arousal,-1.0,2014-05-01,12:00:00.000
427,circumplex.arousal,-1.0,2014-05-01,15:00:00.000
428,circumplex.arousal,-1.0,2014-05-01,18:00:00.000
429,circumplex.arousal,-1.0,2014-05-01,21:00:00.000
430,circumplex.arousal,-1.0,2014-05-02,10:00:00.000
431,circumplex.arousal,-1.0,2014-05-02,12:00:00.000
432,circumplex.arousal,-1.0,2014-05-02,15:00:00.000
433,circumplex.arousal,-1.0,2014-05-02,18:00:00.000
434,circumplex.arousal,-1.0,2014-05-02,21:00:00.000
435,circumplex.arousal,-1.0,2014-05-03,09:00:00.000
436,circumplex.arousal,-1.0,2014-05-03,12:00:00.000
437,circumplex.arousal,-1.0,2014-05-03,15:00:00.000
438,circumplex.arousal,-1.0,2014-05-03,18:00:00.000
439,circumplex.arousal,-2.0,2014-05-03,22:00:00.000
440,circumplex.arousal,-2.0,2014-05-04,10:00:00.000
441,circumplex.arousal,-1.0,2014-05-04,12:00:00.000
