,id,time,variable,value
10336,AS14.28,2014-05-03 18:00:00.000,circumplex.arousal,1
10337,AS14.28,2014-05-03 21:00:00.000,circumplex.arousal,-1
10338,AS14.28,2014-05-04 09:00:00.000,circumplex.arousal,0
10339,AS14.28,2014-05-04 12:00:00.000,circumplex.arousal,-1
10340,AS14.28,2014-05-04 14:00:00.000,circumplex.arousal,0
10341,AS14.28,2014-05-04 18:00:00.000,circumplex.arousal,1
10342,AS14.28,2014-05-04 23:00:00.000,circumplex.arousal,-2
10343,AS14.28,2014-05-05 10:00:00.000,circumplex.arousal,0
10344,AS14.28,2014-05-05 12:00:00.000,circumplex.arousal,0
10345,AS14.28,2014-05-05 15:00:00.000,circumplex.arousal,1
10346,AS14.28,2014-05-05 19:00:00.000,circumplex.arousal,1
10347,AS14.28,2014-05-07 08:00:00.000,circumplex.arousal,0
10348,AS14.28,2014-05-07 09:00:00.000,circumplex.arousal,0
10349,AS14.28,2014-05-07 12:00:00.000,circumplex.arousal,1
10350,AS14.28,2014-05-07 15:00:00.000,circumplex.arousal,0
10351,AS14.28,2014-05-07 18:00:00.000,circumplex.arousal,1
10352,AS14.28,2014-05-07 21:00:00.000,circumplex.arousal,-2
10353,AS14.28,2014-05-08 09:00:00.000,circumplex.arousal,0
10354,AS14.28,2014-05-08 11:00:00.000,circumplex.arousal,0
15829,AS14.28,2014-03-31 18:00:00.000,circumplex.valence,1
15830,AS14.28,2014-03-31 21:00:00.000,circumplex.valence,-1
15831,AS14.28,2014-04-01 12:00:00.000,circumplex.valence,NA
15832,AS14.28,2014-04-01 15:00:00.000,circumplex.valence,NA
15833,AS14.28,2014-04-01 18:00:00.000,circumplex.valence,0
15834,AS14.28,2014-04-01 21:00:00.000,circumplex.valence,0
15835,AS14.28,2014-04-02 10:00:00.000,circumplex.valence,0
15836,AS14.28,2014-04-02 12:00:00.000,circumplex.valence,-1
15837,AS14.28,2014-04-02 15:00:00.000,circumplex.valence,2
15838,AS14.28,2014-04-02 17:00:00.000,circumplex.valence,0
15839,AS14.28,2014-04-02 21:00:00.000,circumplex.valence,1
15840,AS14.28,2014-04-03 08:00:00.000,circumplex.valence,1
15841,AS14.28,2014-04-03 12:00:00.000,circumplex.valence,2
15842,AS14.28,2014-04-03 15:00:00.000,circumplex.valence,2
15843,AS14.28,2014-04-03 17:00:00.000,circumplex.valence,NA
15844,AS14.28,2014-04-03 21:00:00.000,circumplex.valence,0
15845,AS14.28,2014-04-04 10:00:00.000,circumplex.valence,NA
15846,AS14.28,2014-04-04 11:00:00.000,circumplex.valence,0
15847,AS14.28,2014-04-04 15:00:00.000,circumplex.valence,-1
15848,AS14.28,2014-04-04 21:00:00.000,circumplex.valence,1
15849,AS14.28,2014-04-05 09:00:00.000,circumplex.valence,0
15850,AS14.28,2014-04-05 12:00:00.000,circumplex.valence,1
15851,AS14.28,2014-04-05 15:00:00.000,circumplex.valence,1
15852,AS14.28,2014-04-05 17:00:00.000,circumplex.valence,1
15853,AS14.28,2014-04-05 21:00:00.000,circumplex.valence,1
15854,AS14.28,2014-04-06 09:00:00.000,circumplex.valence,1
15855,AS14.28,2014-04-06 11:00:00.000,circumplex.valence,0
15856,AS14.28,2014-04-06 14:00:00.000,circumplex.valence,1
15857,AS14.28,2014-04-06 18:00:00.000,circumplex.valence,0
15858,AS14.28,2014-04-06 21:00:00.000,circumplex.valence,1
15859,AS14.28,2014-04-07 09:00:00.000,circumplex.valence,2
15860,AS14.28,2014-04-07 12:00:00.000,circumplex.valence,NA
15861,AS14.28,2014-04-07 15:00:00.000,circumplex.valence,1
15862,AS14.28,2014-04-07 17:00:00.000,circumplex.valence,1
15863,AS14.28,2014-04-07 21:00:00.000,circumplex.valence,1
15864,AS14.28,2014-04-08 08:00:00.000,circumplex.valence,1
15865,AS14.28,2014-04-08 11:00:00.000,circumplex.valence,1
15866,AS14.28,2014-04-08 15:00:00.000,circumplex.valence,0
15867,AS14.28,2014-04-08 17:00:00.000,circumplex.valence,1
15868,AS14.28,2014-04-08 21:00:00.000,circumplex.valence,2
15869,AS14.28,2014-04-09 20:00:00.000,circumplex.valence,1
15870,AS14.28,2014-04-09 21:00:00.000,circumplex.valence,1
15871,AS14.28,2014-04-10 09:00:00.000,circumplex.valence,0
15872,AS14.28,2014-04-10 14:00:00.000,circumplex.valence,0
15873,AS14.28,2014-04-10 19:00:00.000,circumplex.valence,1
15874,AS14.28,2014-04-10 21:00:00.000,circumplex.valence,1
15875,AS14.28,2014-04-11 11:00:00.000,circumplex.valence,-1
15876,AS14.28,2014-04-11 12:00:00.000,circumplex.valence,0
15877,AS14.28,2014-04-11 15:00:00.000,circumplex.valence,0
15878,AS14.28,2014-04-11 19:00:00.000,circumplex.valence,NA
15879,AS14.28,2014-04-11 21:00:00.000,circumplex.valence,1
15880,AS14.28,2014-04-12 09:00:00.000,circumplex.valence,1
15881,AS14.28,2014-04-12 12:00:00.000,circumplex.valence,2
15882,AS14.28,2014-04-12 15:00:00.000,circumplex.valence,1
15883,AS14.28,2014-04-12 18:00:00.000,circumplex.valence,1
15884,AS14.28,2014-04-12 21:00:00.000,circumplex.valence,NA
15885,AS14.28,2014-04-13 09:00:00.000,circumplex.valence,1
15886,AS14.28,2014-04-13 12:00:00.000,circumplex.valence,NA
15887,AS14.28,2014-04-13 15:00:00.000,circumplex.valence,1
15888,AS14.28,2014-04-13 18:00:00.000,circumplex.valence,0
15889,AS14.28,2014-04-13 21:00:00.000,circumplex.valence,1
15890,AS14.28,2014-04-14 09:00:00.000,circumplex.valence,-1
15891,AS14.28,2014-04-14 12:00:00.000,circumplex.valence,NA
15892,AS14.28,2014-04-14 15:00:00.000,circumplex.valence,1
15893,AS14.28,2014-04-14 18:00:00.000,circumplex.valence,1
15894,AS14.28,2014-04-14 21:00:00.000,circumplex.valence,1
15895,AS14.28,2014-04-15 10:00:00.000,circumplex.valence,0
15896,AS14.28,2014-04-15 12:00:00.000,circumplex.valence,1
15897,AS14.28,2014-04-15 15:00:00.000,circumplex.valence,-1
15898,AS14.28,2014-04-15 17:00:00.000,circumplex.valence,1
15899,AS14.28,2014-04-15 20:00:00.000,circumplex.valence,1
15900,AS14.28,2014-04-16 09:00:00.000,circumplex.valence,1
15901,AS14.28,2014-04-16 11:00:00.000,circumplex.valence,1
15902,AS14.28,2014-04-16 17:00:00.000,circumplex.valence,-1
15903,AS14.28,2014-04-16 17:00:00.000,circumplex.valence,-2
15904,AS14.28,2014-04-16 21:00:00.000,circumplex.valence,-1
15905,AS14.28,2014-04-17 09:00:00.000,circumplex.valence,NA
15906,AS14.28,2014-04-17 14:00:00.000,circumplex.valence,2
15907,AS14.28,2014-04-17 15:00:00.000,circumplex.valence,1
15908,AS14.28,2014-04-17 17:00:00.000,circumplex.valence,0
15909,AS14.28,2014-04-17 21:00:00.000,circumplex.valence,0
15910,AS14.28,2014-04-18 09:00:00.000,circumplex.valence,NA
15911,AS14.28,2014-04-18 12:00:00.000,circumplex.valence,0
15912,AS14.28,2014-04-18 15:00:00.000,circumplex.valence,1
15913,AS14.28,2014-04-18 18:00:00.000,circumplex.valence,NA
15914,AS14.28,2014-04-18 21:00:00.000,circumplex.valence,-1
15915,AS14.28,2014-04-19 09:00:00.000,circumplex.valence,NA
